game_date,away_team,home_team,venue,scheduled_time,status
2026-09-13,NC,두산,잠실,17:00,종료
2026-09-13,LG,삼성,대구,17:00,종료
2026-09-13,한화,KIA,광주,17:00,종료
2026-09-13,롯데,KT,수원,17:00,종료
