game_date,away_team,home_team,venue,scheduled_time,status
2026-09-18,키움,두산,잠실,18:30,종료
2026-09-18,NC,롯데,사직,18:30,종료
2026-09-18,LG,KT,수원,18:30,종료
2026-09-18,삼성,한화,대전,18:30,종료
