game_date,away_team,home_team,venue,scheduled_time,status
2026-07-31,LG,두산,잠실,18:30,종료
2026-07-31,삼성,롯데,사직,18:30,종료
2026-07-31,한화,KT,수원,18:30,종료
2026-07-31,KIA,NC,창원,18:30,종료
2026-07-31,SSG,키움,고척,18:30,종료
