순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
6,하영민,키움,4.16,15,3,5,0,0,0.375,67,60,6,30,4,58,36,31,1.34,0,0,3,0,293,1136,0.239,11,3,2,6,0,7,0
7,박지성,키움,4.68,18,0,1,0,0,0.000,25,29,5,9,0,22,16,13,1.52,0,0,0,1,111,445,0.284,7,1,0,0,0,3,0
8,박진형,키움,4.70,21,2,2,0,2,0.500,23,25,2,13,4,18,12,12,1.65,0,0,0,0,107,415,0.291,3,2,1,3,1,0,0
9,로젠버그,키움,4.80,7,0,2,0,0,0.000,30,37,2,10,3,32,16,16,1.57,0,0,0,0,137,556,0.301,7,0,0,1,0,0,0
10,박정훈,키움,5.00,30,2,1,0,9,0.667,45,45,2,28,5,38,25,25,1.62,0,0,0,3,206,801,0.265,11,1,2,1,0,5,1
11,정다훈,키움,5.11,13,0,0,0,0,-,12 1/3,15,2,9,1,5,7,7,1.95,0,0,0,0,61,232,0.306,4,0,1,1,1,2,0
12,배동현,키움,5.37,16,4,6,0,0,0.400,70 1/3,88,7,20,2,56,44,42,1.54,0,0,1,1,318,1223,0.303,26,2,2,4,0,1,0
13,김선기,키움,5.40,2,0,0,0,0,-,3 1/3,3,0,1,0,3,2,2,1.20,0,0,0,0,12,50,0.273,1,1,0,0,0,0,0
13,와일스,키움,5.40,5,0,4,0,0,0.000,25,37,3,3,1,18,17,15,1.60,0,0,2,0,117,431,0.343,5,0,1,4,0,1,0
15,오석주,키움,5.47,14,0,1,0,0,0.000,24 2/3,27,0,19,3,19,16,15,1.86,0,0,0,0,124,489,0.278,7,0,3,2,0,1,0
16,김성진,키움,5.74,32,1,2,0,8,0.333,31 1/3,42,2,12,2,23,22,20,1.72,0,0,0,1,144,552,0.336,6,1,3,2,0,0,0
