team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7736,0.8764,63,18,4.101,2.63,4.475,3.617,17,2026-05-31
KT,0.7856,0.8792,39,17,4.189,3.16,4.187,4.192,13,2026-05-31
LG,0.745,0.8594,39,15,4.22,1.79,3.879,4.588,20,2026-05-31
NC,0.7512,0.8444,48,18,4.754,3.33,4.451,5.039,19,2026-05-31
SSG,0.7517,0.8264,52,15,5.161,3.52,5.237,5.08,16,2026-05-31
두산,0.7202,0.7988,41,15,4.265,2.61,3.837,4.859,19,2026-05-31
롯데,0.7046,0.7516,40,16,4.437,3.38,4.105,4.992,17,2026-05-31
삼성,0.8184,0.9246,51,15,3.768,2.17,3.484,4.152,15,2026-05-31
키움,0.6124,0.7398,30,20,4.803,3.18,4.08,5.496,19,2026-05-31
한화,0.8054,0.9434,60,15,5.014,2.25,3.641,6.398,19,2026-05-31
