team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7683,0.8764,77,18,3.998,2.66,3.718,4.353,17,2026-06-14
KT,0.7741,0.8492,43,17,4.346,3.16,4.233,4.488,15,2026-06-14
LG,0.7632,0.8724,53,15,4.326,2.63,4.114,4.538,20,2026-06-14
NC,0.7674,0.856,59,18,4.767,3.4,4.386,5.149,19,2026-06-14
SSG,0.7648,0.8374,69,16,5.376,4.36,5.615,5.141,19,2026-06-14
두산,0.7365,0.8088,52,17,3.915,2.86,3.572,4.383,20,2026-06-14
롯데,0.7047,0.793,48,18,4.763,3.2,4.415,5.294,20,2026-06-14
삼성,0.8033,0.8948,62,17,3.923,2.96,3.858,4.008,16,2026-06-14
키움,0.6281,0.7392,38,21,4.725,2.96,3.892,5.449,21,2026-06-14
한화,0.7879,0.9086,69,15,4.559,2.67,3.289,5.691,21,2026-06-14
