team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.774,0.88,65,18,4.022,2.63,4.373,3.563,17,2026-06-02
KT,0.7831,0.8686,39,17,4.214,3.16,4.187,4.251,14,2026-06-02
LG,0.757,0.8786,43,15,4.158,1.79,3.784,4.567,20,2026-06-02
NC,0.7517,0.845,49,18,4.829,3.33,4.478,5.161,19,2026-06-02
SSG,0.7564,0.829,56,15,5.302,3.52,5.289,5.315,16,2026-06-02
두산,0.7206,0.799,43,16,4.242,2.27,3.751,4.93,19,2026-06-02
롯데,0.7025,0.7966,40,16,4.431,3.38,4.108,4.976,17,2026-06-02
삼성,0.8235,0.9262,54,15,3.792,2.61,3.65,3.984,15,2026-06-02
키움,0.6194,0.756,33,20,4.829,3.25,4.075,5.568,19,2026-06-02
한화,0.8024,0.9384,60,15,4.984,3.24,4.185,5.719,20,2026-06-02
