team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.772,0.8718,70,18,3.962,2.39,4.271,3.565,17,2026-06-06
KT,0.7839,0.8726,42,17,4.251,3.16,4.18,4.351,14,2026-06-06
LG,0.7555,0.8786,47,15,4.281,1.97,3.797,4.782,20,2026-06-06
NC,0.7581,0.8538,55,18,4.806,3.48,4.525,5.074,19,2026-06-06
SSG,0.7654,0.8368,63,15,5.236,4.11,5.369,5.104,18,2026-06-06
두산,0.7291,0.8022,45,17,4.06,2.27,3.557,4.741,19,2026-06-06
롯데,0.6925,0.7776,42,16,4.618,3.48,4.371,5.012,19,2026-06-06
삼성,0.8083,0.9102,59,16,3.797,2.61,3.722,3.899,16,2026-06-06
키움,0.6236,0.7338,35,21,5.049,3.25,4.186,5.868,20,2026-06-06
한화,0.7958,0.929,62,15,4.662,2.97,3.727,5.481,21,2026-06-06
