team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7793,0.885,95,20,4.027,2.36,3.509,4.644,19,2026-06-30
KT,0.779,0.8728,54,17,4.556,3.16,4.332,4.826,16,2026-06-30
LG,0.762,0.8692,69,15,4.362,2.88,4.199,4.522,21,2026-06-30
NC,0.7731,0.8642,69,19,4.667,3.36,4.056,5.28,24,2026-06-30
SSG,0.7622,0.8466,84,16,5.574,4.42,6.026,5.116,19,2026-06-30
두산,0.731,0.8208,57,18,3.896,2.39,3.536,4.385,20,2026-06-30
롯데,0.6993,0.7684,59,19,4.487,3.06,4.204,4.9,21,2026-06-30
삼성,0.7886,0.894,66,17,3.793,2.95,3.848,3.723,16,2026-06-30
키움,0.6346,0.7304,47,24,4.857,2.98,3.744,5.816,24,2026-06-30
한화,0.7798,0.8922,87,15,4.427,2.67,3.452,5.329,23,2026-06-30
