team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7743,0.8852,83,18,4.069,2.58,3.649,4.595,18,2026-06-20
KT,0.7766,0.8444,47,17,4.357,3.16,4.22,4.522,16,2026-06-20
LG,0.7594,0.8774,58,15,4.214,2.67,4.041,4.389,20,2026-06-20
NC,0.775,0.859,62,18,4.681,3.51,4.211,5.164,20,2026-06-20
SSG,0.7686,0.8336,76,16,5.388,4.25,5.633,5.141,19,2026-06-20
두산,0.7249,0.8046,52,17,3.912,2.77,3.632,4.296,20,2026-06-20
롯데,0.7038,0.791,53,18,4.558,3.33,4.293,4.949,20,2026-06-20
삼성,0.7922,0.8852,63,17,3.853,2.86,3.803,3.918,16,2026-06-20
키움,0.6327,0.7284,40,23,4.651,2.9,3.659,5.538,21,2026-06-20
한화,0.7795,0.9,75,15,4.564,2.74,3.516,5.52,21,2026-06-20
