team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.78,0.84,31,11,4.322,1.64,4.294,4.362,14,2026-05-05
KT,0.7573,0.9022,24,13,3.706,2.53,3.692,3.727,13,2026-05-05
LG,0.7696,0.8736,18,11,3.381,1.16,3.295,3.499,15,2026-05-05
NC,0.7637,0.8378,28,13,4.14,2.88,4.625,3.453,14,2026-05-05
SSG,0.7765,0.9366,33,13,4.38,1.54,4.243,4.524,15,2026-05-05
두산,0.7271,0.8434,24,13,4.493,2.67,3.637,5.934,15,2026-05-05
롯데,0.6846,0.7522,22,14,3.702,2.34,3.449,4.223,12,2026-05-05
삼성,0.8025,0.954,22,13,4.082,1.1,3.551,4.832,13,2026-05-05
키움,0.5953,0.7338,15,14,4.279,2.12,3.384,5.696,13,2026-05-05
한화,0.7372,0.8482,28,14,5.314,2.37,4.061,6.892,17,2026-05-05
