team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7703,0.875,76,18,3.991,2.66,4.244,3.663,17,2026-06-12
KT,0.7691,0.84,42,17,4.261,3.16,4.243,4.284,15,2026-06-12
LG,0.7613,0.8818,52,15,4.388,2.63,4.155,4.621,20,2026-06-12
NC,0.7648,0.8516,58,18,4.694,3.4,4.299,5.085,19,2026-06-12
SSG,0.7655,0.8386,67,16,5.308,4.22,5.58,5.042,19,2026-06-12
두산,0.7365,0.811,51,17,4.016,2.84,3.623,4.551,19,2026-06-12
롯데,0.7086,0.8048,47,18,4.716,3.2,4.455,5.121,20,2026-06-12
삼성,0.8017,0.8982,60,16,3.854,2.61,3.789,3.942,16,2026-06-12
키움,0.6306,0.7458,37,21,4.835,3.12,3.994,5.564,21,2026-06-12
한화,0.792,0.918,68,15,4.609,2.67,3.296,5.795,21,2026-06-12
