team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.7756,0.8854,75,18,3.991,2.66,4.255,3.648,17,2026-06-11
KT,0.7727,0.8466,42,17,4.279,3.16,4.243,4.329,14,2026-06-11
LG,0.7632,0.89,52,15,4.274,2.63,4.007,4.539,20,2026-06-11
NC,0.765,0.8526,58,18,4.749,3.4,4.429,5.058,19,2026-06-11
SSG,0.7673,0.8404,65,16,5.347,4.35,5.589,5.112,19,2026-06-11
두산,0.7351,0.8148,50,17,4.049,2.84,3.675,4.551,19,2026-06-11
롯데,0.7042,0.7854,45,17,4.719,3.2,4.51,5.04,20,2026-06-11
삼성,0.8003,0.8988,60,16,3.852,2.61,3.736,4.007,16,2026-06-11
키움,0.6293,0.7364,36,21,4.867,3.12,3.994,5.647,21,2026-06-11
한화,0.7911,0.9226,67,15,4.617,2.25,3.24,5.835,21,2026-06-11
