순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,김민재,KIA,0.00,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.00,0,0,0,0,8,21,0.250,0,0,0,0,0,0,0
1,유지성,KIA,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,10,0.000,0,0,0,0,0,0,0
3,성영탁,KIA,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97,0,0,0,0,198,753,0.209,6,0,2,1,0,1,0
4,네일,KIA,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07,0,0,19,0,664,2521,0.225,18,1,7,2,0,4,0
5,김현수,KIA,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64,0,0,0,0,86,309,0.243,3,1,1,1,5,2,0
6,김기훈,KIA,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27,0,0,0,0,117,464,0.245,8,1,1,3,0,2,0
7,전상현,KIA,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.20,0,0,0,7,290,1048,0.242,15,0,1,3,3,3,0
8,올러,KIA,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15,1,0,16,0,620,2490,0.226,25,3,5,6,0,2,0
9,정해영,KIA,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51,0,0,0,7,275,1117,0.299,13,0,1,2,1,1,0
10,조상우,KIA,3.90,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52,0,0,0,3,271,1113,0.277,15,0,6,1,3,2,0
11,윤중현,KIA,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65,0,0,0,0,48,159,0.250,4,0,1,0,2,1,0
12,유승철,KIA,4.50,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.50,0,0,0,0,11,40,0.333,0,0,0,0,0,1,0
13,김태형,KIA,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35,0,0,0,0,107,422,0.272,4,0,3,0,0,1,1
14,이준영,KIA,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38,0,0,0,1,145,569,0.273,10,0,1,0,2,1,0
15,김도현,KIA,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45,0,0,9,0,561,2068,0.296,28,4,7,7,0,5,1
16,양현종,KIA,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49,0,0,11,0,677,2497,0.285,23,4,8,8,1,10,0
17,황동하,KIA,5.30,18,1,2,0,0,0.333,35 2/3,38,4,10,3,31,21,21,1.35,0,0,0,1,155,576,0.277,14,1,3,2,0,0,0
18,윤영철,KIA,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64,0,0,1,0,227,888,0.269,7,0,1,2,0,4,0
19,장재혁,KIA,6.00,3,0,0,0,0,-,3,3,1,3,0,2,2,2,2.00,0,0,0,0,13,63,0.300,0,0,0,0,0,0,0
20,한재승,KIA,6.48,36,1,1,1,1,0.500,33 1/3,40,5,31,1,35,29,24,2.13,0,0,0,0,161,685,0.317,4,0,1,2,0,4,0
21,최지민,KIA,6.58,66,2,4,0,9,0.333,53 1/3,46,5,51,4,39,40,39,1.82,0,0,0,0,253,1042,0.238,7,1,2,3,0,4,0
22,김건국,KIA,6.85,26,0,3,0,1,0.000,46,59,11,17,5,31,38,35,1.65,0,0,0,1,216,841,0.311,9,0,1,3,0,3,0
23,이도현,KIA,6.92,6,1,1,0,0,0.500,13,17,1,8,1,9,11,10,1.92,0,0,0,0,65,242,0.309,5,0,0,1,0,1,0
24,이의리,KIA,7.94,10,1,4,0,0,0.200,39 2/3,41,6,31,3,42,37,35,1.82,0,0,2,0,193,784,0.266,9,3,3,2,0,1,0
25,김시훈,KIA,8.06,24,1,0,0,1,1.000,25 2/3,33,7,10,0,18,25,23,1.68,0,0,0,0,118,439,0.308,6,0,0,1,1,0,0
26,이호민,KIA,8.59,13,1,0,0,0,1.000,14 2/3,21,0,9,2,7,14,14,2.05,0,0,0,0,72,259,0.362,5,0,2,1,1,0,0
27,김대유,KIA,9.72,15,0,1,0,1,0.000,8 1/3,12,1,4,0,3,9,9,1.92,0,0,0,0,42,140,0.324,1,0,0,1,0,0,0
28,이형범,KIA,11.70,12,0,0,0,0,-,10,21,0,5,0,6,16,13,2.60,0,0,0,0,56,209,0.438,6,1,1,2,1,0,0
29,김민주,KIA,12.00,3,0,0,0,0,-,3,4,0,2,2,2,4,4,2.00,0,0,0,0,17,54,0.333,1,1,0,1,0,0,0
30,임기영,KIA,13.00,10,1,1,0,0,0.500,9,23,2,4,0,5,13,13,3.00,0,0,0,0,52,176,0.489,4,0,1,0,0,0,0
31,곽도규,KIA,13.50,9,0,0,0,3,-,4,3,0,6,2,5,6,6,2.25,0,0,0,1,22,99,0.214,0,0,0,0,0,1,0
32,이성원,KIA,16.88,4,0,0,0,0,-,2 2/3,3,0,4,3,3,7,5,2.63,0,0,0,0,19,71,0.250,1,0,0,0,0,0,0
33,김정엽,KIA,18.00,2,0,0,0,0,-,1,0,0,1,1,0,2,2,1.00,0,0,0,0,5,21,0.000,0,0,0,0,0,0,0
34,홍원빈,KIA,27.00,2,0,0,0,0,-,1 2/3,2,0,4,0,1,5,5,3.60,0,0,0,0,11,36,0.333,0,0,0,1,0,2,0
1,최용준,KT,2.00,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67,0,0,0,0,39,128,0.351,1,0,0,0,1,0,0
2,우규민,KT,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08,0,0,0,1,185,665,0.259,6,0,4,0,1,0,0
3,이상동,KT,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92,0,0,0,1,168,656,0.203,6,0,2,2,1,1,0
