순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,주효상,KIA,0.333,8,17,15,1,5,2,0,0,7,1,0,0,2,0,0,4,0,0.467,0.412,0.879,1,0.667,0.000
2,김선빈,KIA,0.321,84,308,271,31,87,18,1,3,116,46,2,1,31,0,3,35,9,0.428,0.395,0.823,25,0.352,0.333
3,김도영,KIA,0.309,30,122,110,20,34,9,0,7,64,27,0,2,10,1,0,23,3,0.582,0.361,0.943,10,0.294,1.000
4,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,67,8,8,98,9,0.529,0.399,0.928,38,0.294,0.600
5,고종욱,KIA,0.296,46,123,115,13,34,2,0,3,45,16,0,3,5,1,0,17,2,0.391,0.317,0.708,7,0.321,0.438
6,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,62,0,3,69,7,0.359,0.363,0.722,37,0.294,0.000
7,김호령,KIA,0.283,105,381,332,46,94,26,3,6,144,39,8,1,34,0,6,94,4,0.434,0.359,0.793,26,0.270,0.000
8,윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,0,8,0,1,36,1,0.470,0.316,0.786,12,0.296,0.000
9,박정우,KIA,0.274,53,75,62,17,17,2,0,0,19,4,0,0,10,0,3,12,1,0.306,0.400,0.706,2,0.267,0.000
10,나성범,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,1,42,1,6,79,6,0.444,0.381,0.825,16,0.257,0.400
11,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,34,2,3,158,11,0.432,0.323,0.755,32,0.239,0.143
12,김석환,KIA,0.265,47,134,117,14,31,1,2,2,42,16,0,1,14,0,2,55,0,0.359,0.351,0.710,7,0.345,0.625
13,정현창,KIA,0.263,16,21,19,4,5,0,0,0,5,0,0,0,2,0,0,5,0,0.263,0.333,0.596,0,0.000,0.250
14,김태군,KIA,0.258,100,274,236,20,61,10,1,5,88,31,8,3,17,1,10,20,9,0.373,0.331,0.704,16,0.278,0.000
15,한승택,KIA,0.238,15,23,21,3,5,1,0,0,6,0,0,0,1,0,1,7,1,0.286,0.304,0.590,1,0.125,0.333
16,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,0,6,52,2,4,142,9,0.535,0.321,0.856,25,0.207,0.200
17,김규성,KIA,0.233,133,222,193,30,45,4,0,3,58,16,5,1,21,0,2,49,1,0.301,0.313,0.614,9,0.204,0.714
18,한준수,KIA,0.225,103,276,244,33,55,12,1,7,90,26,0,3,26,1,3,48,4,0.369,0.304,0.673,11,0.197,0.261
19,변우혁,KIA,0.218,47,153,142,11,31,7,0,0,38,17,0,0,10,0,1,47,3,0.268,0.275,0.543,9,0.311,0.200
20,박민,KIA,0.202,71,105,94,11,19,5,0,1,27,6,3,0,5,0,3,33,1,0.287,0.265,0.552,4,0.211,0.250
21,황대인,KIA,0.189,18,57,53,3,10,3,0,1,16,8,0,1,3,0,0,14,0,0.302,0.228,0.530,3,0.250,0.000
22,최정용,KIA,0.167,4,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.167,0.167,0.334,0,0.000,0.000
23,이창진,KIA,0.161,37,113,93,11,15,3,0,1,21,9,1,1,16,0,2,22,2,0.226,0.295,0.521,2,0.143,0.500
24,서건창,KIA,0.136,10,26,22,1,3,1,0,1,7,2,2,0,2,0,0,5,1,0.318,0.208,0.526,0,0.000,0.333
25,박헌,KIA,0.083,8,14,12,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0.083,0.214,0.297,0,0.000,0.000
26,박재현,KIA,0.081,58,69,62,11,5,1,0,0,6,3,0,1,6,0,0,26,0,0.097,0.159,0.256,0,0.059,0.143
27,정해원,KIA,0.075,24,46,40,5,3,0,0,0,3,0,0,0,5,0,1,14,4,0.075,0.196,0.271,0,0.091,0.167
28,김기훈,KIA,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
28,김대유,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,김시훈,KIA,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,김현수,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,이성원,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,이준영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,정해영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,조상우,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,한재승,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,황동하,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,이호연,KT,0.343,32,75,70,8,24,7,0,1,34,8,1,0,3,0,1,14,2,0.486,0.378,0.864,5,0.300,0.389
2,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,75,5,9,72,4,0.570,0.448,1.018,38,0.333,0.000
3,김민혁,KT,0.287,106,417,380,52,109,12,2,0,125,35,4,1,25,1,7,41,12,0.329,0.341,0.670,29,0.262,0.286
4,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,39,1,15,35,14,0.355,0.362,0.717,33,0.290,0.000
5,황재균,KT,0.275,112,424,385,50,106,19,0,7,146,48,1,2,34,1,2,84,2,0.379,0.336,0.715,31,0.403,0.111
6,강백호,KT,0.265,95,369,321,41,85,18,1,15,150,61,0,1,44,3,3,64,9,0.467,0.358,0.825,21,0.300,0.500
7,박민석,KT,0.263,19,21,19,5,5,1,1,0,8,1,0,0,2,0,0,4,0,0.421,0.333,0.754,1,0.000,0.000
