game_date,home_team,away_team,home_score,away_score,home_win,home_starter,away_starter,stadium,status
2024-03-23,LG,한화,8,2,1,,,잠실,종료
2024-03-23,SSG,롯데,5,3,1,,,문학,종료
2024-03-23,NC,두산,4,3,1,,,창원,종료
2024-03-23,KT,삼성,2,6,0,,,수원,종료
2024-03-23,KIA,키움,7,5,1,,,광주,종료
2024-03-24,LG,한화,4,8,0,,,잠실,종료
2024-03-24,SSG,롯데,7,6,1,,,문학,종료
2024-03-24,NC,두산,3,6,0,,,창원,종료
2024-03-24,KT,삼성,8,11,0,,,수원,종료
2024-03-24,KIA,키움,,,,,,광주,예정
2024-03-26,LG,삼성,4,3,1,,,잠실,종료
2024-03-26,SSG,한화,0,6,0,,,문학,종료
2024-03-26,NC,키움,10,5,1,,,창원,종료
2024-03-26,KT,두산,5,8,0,,,수원,종료
2024-03-26,KIA,롯데,2,1,1,,,광주,종료
2024-03-27,LG,삼성,,,,,,잠실,예정
2024-03-27,SSG,한화,1,3,0,,,문학,종료
2024-03-27,NC,키움,6,2,1,,,창원,종료
2024-03-27,KT,두산,8,11,0,,,수원,종료
2024-03-27,KIA,롯데,8,2,1,,,광주,종료
2024-03-28,LG,삼성,18,1,1,,,잠실,종료
2024-03-28,SSG,한화,6,10,0,,,문학,종료
2024-03-28,NC,키움,,,,,,창원,예정
2024-03-28,KT,두산,8,7,1,,,수원,종료
2024-03-28,KIA,롯데,,,,,,광주,예정
2024-03-29,한화,KT,3,2,1,,,한밭,종료
2024-03-29,두산,KIA,2,4,0,,,잠실,종료
2024-03-29,롯데,NC,3,1,1,,,사직,종료
2024-03-29,삼성,SSG,4,6,0,,,대구,종료
2024-03-29,키움,LG,0,3,0,,,고척,종료
2024-03-30,한화,KT,8,5,1,,,한밭,종료
2024-03-30,두산,KIA,8,0,1,,,잠실,종료
2024-03-30,롯데,NC,0,8,0,,,사직,종료
2024-03-30,삼성,SSG,6,9,0,,,대구,종료
2024-03-30,키움,LG,8,3,1,,,고척,종료
2024-03-31,한화,KT,14,3,1,,,한밭,종료
2024-03-31,두산,KIA,3,9,0,,,잠실,종료
2024-03-31,롯데,NC,7,8,0,,,사직,종료
2024-03-31,삼성,SSG,3,4,0,,,대구,종료
2024-03-31,키움,LG,8,4,1,,,고척,종료
2024-04-02,한화,롯데,0,1,0,,,한밭,종료
2024-04-02,LG,NC,5,7,0,,,잠실,종료
2024-04-02,SSG,두산,13,6,1,,,문학,종료
2024-04-02,삼성,키움,3,8,0,,,대구,종료
2024-04-02,KT,KIA,10,6,1,,,수원,종료
2024-04-03,한화,롯데,,,,,,한밭,예정
2024-04-03,LG,NC,5,0,1,,,잠실,종료
2024-04-03,SSG,두산,5,3,1,,,문학,종료
2024-04-03,삼성,키움,,,,,,대구,예정
2024-04-03,KT,KIA,1,5,0,,,수원,종료
2024-04-04,한화,롯데,6,5,1,,,한밭,종료
2024-04-04,LG,NC,8,7,1,,,잠실,종료
2024-04-04,SSG,두산,3,2,1,,,문학,종료
2024-04-04,삼성,키움,1,10,0,,,대구,종료
2024-04-04,KT,KIA,3,6,0,,,수원,종료
2024-04-05,LG,KT,7,8,0,,,잠실,종료
2024-04-05,롯데,두산,3,4,0,,,사직,종료
2024-04-05,NC,SSG,5,0,1,,,창원,종료
2024-04-05,KIA,삼성,5,2,1,,,광주,종료
2024-04-05,키움,한화,11,7,1,,,고척,종료
2024-04-06,LG,KT,8,4,1,,,잠실,종료
2024-04-06,롯데,두산,8,1,1,,,사직,종료
2024-04-06,NC,SSG,16,3,1,,,창원,종료
2024-04-06,KIA,삼성,4,7,0,,,광주,종료
2024-04-06,키움,한화,7,6,1,,,고척,종료
2024-04-07,LG,KT,16,7,1,,,잠실,종료
2024-04-07,롯데,두산,7,6,1,,,사직,종료
2024-04-07,NC,SSG,10,1,1,,,창원,종료
2024-04-07,KIA,삼성,3,7,0,,,광주,종료
2024-04-07,키움,한화,4,3,1,,,고척,종료
2024-04-09,두산,한화,5,3,1,,,잠실,종료
2024-04-09,SSG,키움,8,5,1,,,문학,종료
2024-04-09,롯데,삼성,1,8,0,,,사직,종료
2024-04-09,NC,KT,1,6,0,,,창원,종료
2024-04-09,KIA,LG,7,2,1,,,광주,종료
2024-04-10,두산,한화,7,4,1,,,잠실,종료
2024-04-10,SSG,키움,8,4,1,,,문학,종료
2024-04-10,롯데,삼성,7,10,0,,,사직,종료
2024-04-10,NC,KT,3,2,1,,,창원,종료
2024-04-10,KIA,LG,5,4,1,,,광주,종료
2024-04-11,두산,한화,0,3,0,,,잠실,종료
2024-04-11,SSG,키움,2,5,0,,,문학,종료
2024-04-11,롯데,삼성,0,4,0,,,사직,종료
2024-04-11,NC,KT,8,7,1,,,창원,종료
2024-04-11,KIA,LG,8,4,1,,,광주,종료
2024-04-12,한화,KIA,4,8,0,,,한밭,종료
