순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
21,김진성,LG,4.94,53,6,2,1,18,0.750,47 1/3,57,6,18,2,35,26,26,1.58,0,0,0,2,215,835,0.303,13,1,2,5,2,1,0
22,송승기,LG,5.53,16,3,3,0,0,0.500,70,89,11,23,0,54,46,43,1.60,0,0,1,0,320,1333,0.305,15,2,3,2,0,4,0
23,함덕주,LG,6.19,37,2,1,1,6,0.667,32,34,4,13,3,20,22,22,1.47,0,0,0,1,142,610,0.270,3,1,0,0,0,1,0
24,김윤식,LG,6.40,30,0,1,0,5,0.000,32 1/3,32,2,25,5,17,23,23,1.76,0,0,0,0,153,599,0.264,6,0,1,1,0,2,0
25,치리노스,LG,6.68,8,2,3,0,0,0.400,33 2/3,47,4,14,4,28,26,25,1.81,0,0,0,0,164,648,0.331,8,0,3,1,0,1,0
26,양우진,LG,6.75,3,0,0,0,0,-,2 2/3,3,1,2,0,3,3,2,1.88,0,0,0,0,14,60,0.250,0,0,0,0,0,1,0
27,이정용,LG,7.11,28,1,4,0,1,0.200,55 2/3,85,4,24,4,26,49,44,1.96,0,0,0,0,276,973,0.354,13,2,3,5,0,4,0
28,이상영,LG,8.49,8,0,1,0,0,0.000,11 2/3,20,1,9,4,5,12,11,2.49,0,0,0,0,63,238,0.400,3,0,0,0,0,1,0
29,조건희,LG,9.00,2,0,0,0,0,-,2,4,1,2,0,1,2,2,3.00,0,0,0,0,12,47,0.400,0,0,0,0,0,0,0
30,배재준,LG,10.54,29,1,3,0,2,0.250,27 1/3,31,3,21,7,24,32,32,1.90,0,0,0,1,139,535,0.287,5,0,2,1,0,3,0
31,조원태,LG,10.80,6,0,0,0,0,-,6 2/3,14,1,5,2,7,9,8,2.85,0,0,0,0,41,137,0.424,2,0,0,1,0,2,0
32,성동현,LG,11.12,5,0,0,0,0,-,5 2/3,10,2,4,1,5,8,7,2.47,0,0,0,0,33,126,0.357,0,0,0,0,0,0,0
33,백승현,LG,15.43,9,0,0,0,0,-,7,11,2,6,0,8,12,12,2.43,0,0,0,0,38,164,0.355,1,0,0,1,0,3,0
34,김대현,LG,108.00,1,0,0,0,0,-,1/3,5,1,1,0,0,5,4,18.00,0,0,0,0,7,30,0.833,2,0,0,0,0,0,0
1,이준혁,NC,2.45,28,0,0,0,1,-,29 1/3,20,0,17,4,25,12,8,1.26,0,0,0,0,129,523,0.192,1,0,2,2,1,4,0
1,최우석,NC,2.45,8,0,0,0,0,-,7 1/3,9,0,5,1,6,2,2,1.91,0,0,0,0,36,145,0.300,0,0,0,0,0,1,0
3,신영우,NC,2.51,35,1,2,0,7,0.333,32 1/3,12,1,36,6,49,11,9,1.48,0,0,0,0,149,622,0.117,2,0,2,2,0,5,1
4,라일리,NC,2.68,21,8,1,0,0,0.889,127 2/3,98,17,33,0,157,39,38,1.03,0,0,15,0,502,2006,0.210,17,1,0,3,1,3,0
5,박지한,NC,2.70,3,0,0,0,0,-,3 1/3,1,0,4,2,4,1,1,1.50,0,0,0,0,17,75,0.091,0,0,0,0,0,0,0
6,최성영,NC,3.00,5,1,0,0,0,1.000,3,6,1,1,0,2,1,1,2.33,0,0,0,0,15,66,0.429,0,0,0,0,0,0,0
7,김영규,NC,3.92,28,1,2,0,2,0.333,20 2/3,23,2,17,1,19,9,9,1.94,0,0,0,0,104,375,0.284,5,0,3,2,2,1,0
8,전사민,NC,4.10,64,6,6,10,6,0.500,59 1/3,49,3,34,9,42,36,27,1.40,0,0,0,7,270,957,0.229,9,2,8,5,6,11,0
9,구창모,NC,4.16,26,10,7,0,0,0.588,145,151,18,43,6,120,79,67,1.34,0,0,12,0,624,2328,0.266,25,6,5,2,1,6,0
10,배재환,NC,4.25,53,4,2,1,15,0.667,42 1/3,42,5,17,1,41,23,20,1.39,0,0,0,4,185,733,0.261,8,1,2,4,0,1,0
11,이용준,NC,4.43,24,1,2,2,7,0.333,20 1/3,22,0,13,1,13,11,10,1.72,0,0,0,3,94,388,0.293,2,1,4,1,2,1,0
12,김태훈,NC,4.50,17,0,1,1,0,0.000,16,16,2,4,1,13,10,8,1.25,0,0,0,1,68,281,0.258,2,0,1,0,0,2,0
13,버하겐,NC,4.68,6,1,1,0,0,0.500,25,23,2,11,1,24,13,13,1.36,0,0,0,0,109,447,0.245,2,1,2,1,0,1,0
14,최요한,NC,4.70,10,0,0,0,1,-,7 2/3,7,1,4,0,6,5,4,1.43,0,0,0,0,35,128,0.233,0,0,1,0,1,0,0
15,테일러,NC,4.78,23,7,6,0,0,0.538,124 1/3,115,10,50,14,95,71,66,1.33,0,0,8,0,531,2119,0.249,22,1,3,2,0,6,0
16,신민혁,NC,4.79,8,0,3,0,0,0.000,35 2/3,32,6,13,3,17,21,19,1.26,0,0,0,0,152,596,0.244,9,0,2,3,1,1,0
17,송명기,NC,5.18,21,1,2,0,1,0.333,33,36,8,15,3,32,19,19,1.55,0,0,0,0,153,672,0.267,5,1,0,0,1,1,0
18,토다,NC,5.19,26,7,10,0,0,0.412,131 2/3,159,21,47,2,98,87,76,1.56,1,0,8,0,590,2240,0.299,24,5,4,6,0,6,0
19,임지민,NC,5.40,49,4,5,6,9,0.444,46 2/3,38,7,31,2,57,32,28,1.48,0,0,0,7,208,853,0.220,10,1,1,1,0,8,0
20,김태경,NC,5.52,19,0,1,0,0,0.000,44,45,6,22,2,37,28,27,1.52,0,0,1,0,193,812,0.271,9,2,2,1,0,4,0
21,이재학,NC,6.08,4,0,1,0,0,0.000,13 1/3,15,4,6,1,10,11,9,1.58,0,0,0,0,59,234,0.300,4,0,0,2,0,0,0
22,김준원,NC,6.14,12,0,1,0,0,0.000,14 2/3,15,2,12,3,18,16,10,1.84,0,0,0,0,75,314,0.254,2,0,0,1,0,1,0
22,원종해,NC,6.14,17,0,1,0,1,0.000,29 1/3,33,3,15,7,15,22,20,1.64,0,0,0,0,141,527,0.284,7,1,1,2,0,2,0
24,김진호,NC,6.15,58,3,5,1,18,0.375,45 1/3,40,5,51,4,39,33,31,2.01,0,0,0,2,227,925,0.241,9,1,5,1,0,6,1
25,손주환,NC,6.56,41,2,2,0,3,0.500,35 2/3,39,4,23,3,41,32,26,1.74,0,0,0,2,175,701,0.267,6,0,2,1,2,2,0
