순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
8,박승규,삼성,0.290,56,219,183,37,53,8,4,9,96,30,0,1,32,1,3,33,4,0.525,0.402,0.927,10,0.232,0.125
10,김재상,삼성,0.286,8,16,14,1,4,0,0,0,4,1,1,0,1,0,0,4,0,0.286,0.333,0.619,1,0.286,0.000
11,김헌곤,삼성,0.275,50,74,69,7,19,1,1,0,22,4,0,1,4,0,0,11,2,0.319,0.311,0.630,6,0.214,0.167
12,이재현,삼성,0.243,38,135,111,23,27,3,0,8,54,21,2,2,18,0,2,17,1,0.486,0.353,0.839,6,0.235,0.000
13,전병우,삼성,0.240,64,243,200,32,48,13,0,5,76,31,0,3,27,1,13,60,6,0.380,0.362,0.742,12,0.258,0.333
14,강민호,삼성,0.239,50,161,142,9,34,7,0,4,53,24,0,0,18,0,1,37,3,0.373,0.329,0.702,7,0.326,0.200
15,김상준,삼성,0.220,32,46,41,10,9,1,0,0,10,1,1,0,1,0,3,10,0,0.244,0.289,0.533,1,0.125,1.000
16,김태훈,삼성,0.200,2,6,5,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0.400,0.333,0.733,0,0.000,0.000
17,양우현,삼성,0.191,43,82,68,10,13,4,0,1,20,5,1,1,11,0,1,18,0,0.294,0.309,0.603,2,0.125,0.400
18,박계범,삼성,0.182,23,35,33,6,6,0,0,1,9,2,0,0,2,0,0,13,2,0.273,0.229,0.502,2,0.077,0.000
19,김영웅,삼성,0.178,11,47,45,2,8,2,0,0,10,3,0,0,2,0,0,16,0,0.222,0.213,0.435,2,0.143,0.000
20,박세혁,삼성,0.175,25,44,40,6,7,1,0,0,8,0,0,0,4,0,0,9,1,0.200,0.250,0.450,0,0.000,0.000
21,김재혁,삼성,0.167,10,6,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0.167,0.167,0.334,0,0.000,0.000
22,심재훈,삼성,0.125,9,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.125,0.125,0.250,0,0.000,0.000
22,장승현,삼성,0.125,32,21,16,1,2,0,0,0,2,0,2,0,2,0,1,6,3,0.125,0.263,0.388,0,0.000,0.000
22,홍현빈,삼성,0.125,9,8,8,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0.125,0.125,0.250,0,0.250,0.000
25,이성규,삼성,0.111,12,17,9,6,1,0,0,0,1,0,2,0,6,0,0,6,0,0.111,0.467,0.578,0,0.000,0.000
