game_date,home_team,away_team,home_score,away_score,home_win,home_starter,away_starter,stadium,status
2025-03-22,LG,롯데,12,2,1,,,잠실,종료
2025-03-22,SSG,두산,6,5,1,,,문학,종료
2025-03-22,삼성,키움,13,5,1,,,대구,종료
2025-03-22,KT,한화,3,4,0,,,수원,종료
2025-03-22,KIA,NC,9,2,1,,,광주,종료
2025-03-23,LG,롯데,10,2,1,,,잠실,종료
2025-03-23,SSG,두산,5,2,1,,,문학,종료
2025-03-23,삼성,키움,11,7,1,,,대구,종료
2025-03-23,KT,한화,5,4,1,,,수원,종료
2025-03-23,KIA,NC,4,5,0,,,광주,종료
2025-03-25,LG,한화,5,0,1,,,잠실,종료
2025-03-25,SSG,롯데,2,3,0,,,문학,종료
2025-03-25,삼성,NC,14,5,1,,,대구,종료
2025-03-25,KT,두산,8,3,1,,,수원,종료
2025-03-25,KIA,키움,11,6,1,,,광주,종료
2025-03-26,LG,한화,4,0,1,,,잠실,종료
2025-03-26,SSG,롯데,3,1,1,,,문학,종료
2025-03-26,삼성,NC,6,8,0,,,대구,종료
2025-03-26,KT,두산,2,3,0,,,수원,종료
2025-03-26,KIA,키움,10,17,0,,,광주,종료
2025-03-27,LG,한화,2,1,1,,,잠실,종료
2025-03-27,SSG,롯데,5,2,1,,,문학,종료
2025-03-27,삼성,NC,5,11,0,,,대구,종료
2025-03-27,KT,두산,4,3,1,,,수원,종료
2025-03-27,KIA,키움,3,5,0,,,광주,종료
2025-03-28,두산,삼성,2,0,1,,,잠실,종료
2025-03-28,롯데,KT,0,2,0,,,사직,종료
2025-03-28,NC,LG,4,8,0,,,창원,종료
2025-03-28,키움,SSG,9,3,1,,,고척,종료
2025-03-28,한화,KIA,7,2,1,,,대전,종료
2025-03-29,키움,SSG,3,1,1,,,고척,종료
2025-03-29,한화,KIA,5,4,1,,,대전,종료
2025-03-29,두산,삼성,2,13,0,,,잠실,종료
2025-03-29,롯데,KT,3,1,1,,,사직,종료
2025-03-29,NC,LG,4,14,0,,,창원,종료
2025-03-30,두산,삼성,2,3,0,,,잠실,종료
2025-03-30,롯데,KT,,,,,,사직,예정
2025-03-30,NC,LG,,,,,,창원,예정
2025-03-30,키움,SSG,2,8,0,,,고척,종료
2025-03-30,한화,KIA,3,5,0,,,대전,종료
2025-04-01,두산,키움,,,,,,잠실,예정
2025-04-01,NC,SSG,,,,,,창원,예정
2025-04-01,KT,LG,,,,,,수원,예정
2025-04-01,KIA,삼성,,,,,,광주,예정
2025-04-01,한화,롯데,,,,,,대전,예정
2025-04-02,두산,키움,5,3,1,,,잠실,종료
2025-04-02,NC,SSG,,,,,,창원,예정
2025-04-02,KT,LG,9,5,1,,,수원,종료
2025-04-02,KIA,삼성,2,4,0,,,광주,종료
2025-04-02,한화,롯데,2,6,0,,,대전,종료
2025-04-03,두산,키움,6,1,1,,,잠실,종료
2025-04-03,NC,SSG,,,,,,창원,예정
2025-04-03,KT,LG,1,5,0,,,수원,종료
2025-04-03,KIA,삼성,3,1,1,,,광주,종료
2025-04-03,한화,롯데,2,4,0,,,대전,종료
2025-04-04,LG,KIA,8,2,1,,,잠실,종료
2025-04-04,SSG,KT,3,2,1,,,문학,종료
2025-04-04,롯데,두산,3,15,0,,,사직,종료
2025-04-04,삼성,한화,5,0,1,,,대구,종료
2025-04-04,키움,NC,5,1,1,,,고척,종료
2025-04-05,LG,KIA,,,,,,잠실,예정
2025-04-05,삼성,한화,6,7,0,,,대구,종료
2025-04-05,SSG,KT,,,,,,문학,예정
2025-04-05,롯데,두산,6,1,1,,,사직,종료
2025-04-05,키움,NC,5,7,0,,,고척,종료
2025-04-06,LG,KIA,5,1,1,,,잠실,종료
2025-04-06,SSG,KT,1,0,1,,,문학,종료
2025-04-06,롯데,두산,12,15,0,,,사직,종료
2025-04-06,삼성,한화,10,0,1,,,대구,종료
2025-04-06,키움,NC,2,8,0,,,고척,종료
2025-04-08,두산,한화,6,5,1,,,잠실,종료
2025-04-08,롯데,KIA,4,5,0,,,사직,종료
2025-04-08,삼성,SSG,7,3,1,,,대구,종료
2025-04-08,KT,NC,3,2,1,,,수원,종료
2025-04-08,키움,LG,1,13,0,,,고척,종료
2025-04-09,두산,한화,4,5,0,,,잠실,종료
2025-04-09,롯데,KIA,1,3,0,,,사직,종료
2025-04-09,삼성,SSG,1,3,0,,,대구,종료
